Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7",0402,7,100nF,C155422
CN1,PinHeader_1x02_P2.54mm_Vertical,1,485,C5360898
CN2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB,C165948
CN3,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",1,Can,C474920
CN4,PinHeader_1x04_P2.54mm_Vertical,1,Can,C2905435
CN5,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",1,485,C474920
"JP1, JP2, JP3, JP4, JP6, JP7, JP8",PinHeader_1x03_P2.54mm_Vertical,7,Jmp,C49257
JP5,PinHeader_2x02_P2.54mm_Vertical,1,Jmp,C32713275
"LD1, LD2, LD3, LD4, LD5, LD6",0603,6,O1_G,C12624
"LD10, LD8",0603,2,Tx,C2286
LD11,0603,1,3v3,C2286
LD12,0603,1,5v,C2286
"LD7, LD9",0603,2,Rx,C2286
OLED1,OLED096,1,OLED,C5248080
"R1, R2, R3, R4, R5, R7",0402,6,1.5k,C25867
"R10, R18, R19, R21, R22, R24, R9",0402,7,10k,C174175
"R13, R14",0402,2,5.1k,C25905
"R15, R16, R25, R28, R29, R30",0402,6,1k,C140196
"R23, R27",0603,2,120,C177328
"R6, R8",0603,2,2.2k,
"RV1, RV2",Potentiometer_Bourns_3386P_Vertical,2,Tr,C116303
"SW1, SW2",SW_SPST_PTS810,2,Usr1,C221895
U1,SO-8_3.9x4.9mm_P1.27mm,1,25LCxxx,C84670
U2,SOT-563,1,TMP102xxDRL,C99269
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX3485ESA-MS,C7434431
U4,JEITA_SOIC-8_3.9x4.9mm_P1.27mm,1,CH340N,C2977777
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051T-3,C38695
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,ATECC608A-SSHDA,C28975195
